time,open_N,open_N-1,close_N,close_N-1,low_N,low_N-1,high_N,high_N-1,volume_N,volume_N-1,pattern_N,pattern_N-1,body_N,body_N-1,candle_height_N,candle_height_N-1,shadow_up_N,shadow_up_N-1,shadow_down_N,shadow_down_N-1,body_diff,shadow_sum_N,shadow_sum_N-1,ratio_up_shadow_to_body_N,ratio_up_shadow_to_body_N_abs,ratio_up_shadow_to_body_N-1,ratio_up_shadow_to_body_N-1_abs,ratio_down_shadow_to_body_N,ratio_down_shadow_to_body_N_abs,ratio_down_shadow_to_body_N-1,ratio_down_shadow_to_body_N-1_abs,ratio_sum_shadow_to_body_N,ratio_sum_shadow_to_body_N_abs,ratio_sum_shadow_to_body_N-1,ratio_sum_shadow_to_body_N-1_abs,ratio_of_body,ratio_of_body_abs,is_zero_body_N,is_zero_body_N-1,pattern,cluster,pca_1,pca_2
2009-04-10 19:00:00,2663,2679,2675,2661,2660,2658,2675,2683,1986,9623,1,1,12,-2,15,25,0,4,3,3,14,3,7,0.0,0.0,-2.0,2.0,0.25,0.25,-1.5,1.5,0.25,0.25,-3.5,3.5,-6.0,6.0,0,0,1,2,-5.33400207901171,0.1464100828929979
2009-04-15 14:00:00,2762,2822,2773,2761,2745,2722,2792,2827,42379,94603,1,1,11,-1,47,105,19,5,17,39,12,36,44,1.7272727272727273,1.7272727272727273,-5.0,5.0,1.5454545454545454,1.5454545454545454,-39.0,39.0,3.272727272727273,3.272727272727273,-44.0,44.0,-11.0,11.0,0,0,1,2,-4.034761370133301,2.7559093865138236
2009-04-16 19:00:00,2874,2899,2890,2870,2870,2860,2898,2908,13730,37419,1,1,16,-4,28,48,8,9,4,10,20,12,19,0.5,0.5,-2.25,2.25,0.25,0.25,-2.5,2.5,0.75,0.75,-4.75,4.75,-4.0,4.0,0,0,1,2,-5.055460074196775,0.6020892484813284
2009-04-17 23:00:00,2886,2900,2887,2878,2878,2877,2895,2907,5501,4101,1,1,1,-8,17,30,8,7,8,1,9,16,8,8.0,8.0,-0.875,0.875,8.0,8.0,-0.125,0.125,16.0,16.0,-1.0,1.0,-0.125,0.125,0,0,1,2,-5.044211552186395,0.7253379207157484
2009-04-20 12:00:00,2798,2810,2808,2796,2791,2777,2815,2825,30880,78029,1,1,10,-2,24,48,7,15,7,19,12,14,34,0.7,0.7,-7.5,7.5,0.7,0.7,-9.5,9.5,1.4,1.4,-17.0,17.0,-5.0,5.0,0,0,1,2,-4.851118486091584,1.4177719600502647
2009-04-20 13:00:00,2808,2798,2689,2808,2665,2791,2808,2815,134182,30880,1,1,-119,0,143,24,0,7,24,7,-119,24,14,-0.0,0.0,100.0,100.0,-0.20168067226890757,0.20168067226890757,100.0,100.0,-0.20168067226890757,0.20168067226890757,100.0,100.0,0.0,0.0,0,1,1,3,-5.849688168344206,0.6199624960434067
2009-04-20 14:00:00,2690,2808,2709,2689,2648,2665,2714,2808,89428,134182,1,1,19,-1,66,143,5,0,42,24,20,47,24,0.2631578947368421,0.2631578947368421,-0.0,0.0,2.210526315789474,2.210526315789474,-24.0,24.0,2.473684210526316,2.473684210526316,-24.0,24.0,-19.0,19.0,0,0,1,2,-4.353860149171514,2.9420542582976155
2009-04-23 12:00:00,2707,2720,2712,2705,2680,2695,2717,2729,62931,53107,1,1,5,-2,37,34,5,9,27,10,7,32,19,1.0,1.0,-4.5,4.5,5.4,5.4,-5.0,5.0,6.4,6.4,-9.5,9.5,-2.5,2.5,0,0,1,2,-4.97214661202003,1.5447386901573932
2009-04-29 13:00:00,2568,2610,2599,2565,2567,2551,2615,2617,54758,50007,1,1,31,-3,48,66,16,7,1,14,34,17,21,0.5161290322580645,0.5161290322580645,-2.3333333333333335,2.3333333333333335,0.03225806451612903,0.03225806451612903,-4.666666666666667,4.666666666666667,0.5483870967741935,0.5483870967741935,-7.0,7.0,-10.333333333333334,10.333333333333334,0,0,1,2,-4.940250096110561,1.3102817008936163
2009-05-05 16:00:00,2894,2920,2914,2892,2884,2871,2920,2925,49776,48662,1,1,20,-2,36,54,6,5,10,21,22,16,26,0.3,0.3,-2.5,2.5,0.5,0.5,-10.5,10.5,0.8,0.8,-13.0,13.0,-10.0,10.0,0,0,1,2,-4.8376752898872075,1.3145038994525042
2009-05-06 11:00:00,2804,2855,2837,2801,2798,2784,2857,2855,50515,59768,1,1,33,-3,59,71,20,0,6,17,36,26,17,0.6060606060606061,0.6060606060606061,-0.0,0.0,0.18181818181818182,0.18181818181818182,-5.666666666666667,5.666666666666667,0.7878787878787878,0.7878787878787878,-5.666666666666667,5.666666666666667,-11.0,11.0,0,0,1,2,-4.8264108921639775,1.3445727902895592
2009-05-07 19:00:00,3108,3214,3118,3107,3061,3080,3118,3214,16177,106947,1,1,10,-1,57,134,0,0,47,27,11,47,27,0.0,0.0,-0.0,0.0,4.7,4.7,-27.0,27.0,4.7,4.7,-27.0,27.0,-10.0,10.0,0,0,1,2,-4.1809894608595295,2.214168294138065
2009-05-08 13:00:00,3140,3157,3150,3138,3140,3127,3164,3163,42608,27549,1,1,10,-2,24,36,14,6,0,11,12,14,17,1.4,1.4,-3.0,3.0,0.0,0.0,-5.5,5.5,1.4,1.4,-8.5,8.5,-5.0,5.0,0,0,1,2,-5.011580226127174,0.8101753977505599
2009-05-13 16:00:00,3206,3287,3232,3205,3172,3187,3251,3336,88609,139283,1,1,26,-1,79,149,19,49,34,18,27,53,67,0.7307692307692307,0.7307692307692307,-49.0,49.0,1.3076923076923077,1.3076923076923077,-18.0,18.0,2.0384615384615383,2.0384615384615383,-67.0,67.0,-26.0,26.0,0,0,1,2,-3.072396623749635,4.35532157841751
